State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
ID,167,64,12,4,81,31,93,36,260,100,2004,"1,391,802",0,1.12,0.71,0.57
ID,186,63,18,6,90,31,107,37,293,100,2003,"1,363,380",0,1.14,0.64,0.54
ID,173,66,17,7,74,28,91,34,264,100,2002,"1,340,372",0,1.16,0.64,0.53
ID,238,75,12,4,68,21,79,25,317,100,2001,"1,319,962",0,1.14,0.63,0.53
ID,162,59,33,12,81,29,114,41,276,100,2000,"1,299,430",0,1.16,0.65,0.51
IL,781,57,103,8,477,35,580,43,"1,361",100,2005,"12,609,903",0,1.22,0.34,0.7
IL,752,55,87,6,517,38,604,45,"1,356",100,2004,"12,589,773",0,1.22,0.31,0.67
IL,814,56,99,7,539,37,639,44,"1,453",100,2003,"12,556,006",0,1.25,0.35,0.74
IL,763,54,97,7,552,39,648,46,"1,411",100,2002,"12,525,556",0,1.27,0.33,0.65
IL,"1,447",74,86,4,435,22,521,26,"1,968",100,2001,"12,488,445",0,1.27,0.32,0.68
IL,804,57,126,9,489,34,614,43,"1,418",100,2000,"12,434,161",0,1.28,0.32,0.63
IN,618,66,47,5,273,29,320,34,938,100,2005,"6,278,616",0,1.11,0.22,0.68
IN,648,68,45,5,254,27,299,32,947,100,2004,"6,233,007",0,1.14,0.22,0.66
IN,572,69,40,5,223,27,262,31,834,100,2003,"6,196,638",0,1.11,0.21,0.64
IN,523,66,46,6,223,28,269,34,792,100,2002,"6,155,967",0,1.13,0.2,0.6
IN,977,76,55,4,253,20,308,24,"1,285",100,2001,"6,127,760",0,1.15,0.2,0.62
IN,605,69,56,6,214,24,270,31,875,100,2000,"6,091,866",0,1.16,0.21,0.61
KS,277,65,30,7,122,28,151,35,428,100,2005,"2,745,299",0,1.14,0.18,0.57
KS,313,68,27,6,121,26,148,32,461,100,2004,"2,734,373",0,1.13,0.16,0.56
KS,265,56,24,5,182,39,206,44,471,100,2003,"2,723,004",0,1.15,0.17,0.56
KS,283,55,23,5,205,40,229,45,512,100,2002,"2,713,535",0,1.19,0.15,0.54
KS,474,74,24,4,142,22,166,26,640,100,2001,"2,702,162",0,1.12,0.15,0.53
KS,307,67,36,8,118,26,154,33,461,100,2000,"2,693,681",0,1.15,0.15,0.52
KY,672,68,47,5,267,27,313,32,985,100,2005,"4,182,742",0,1.05,0.14,0.61
KY,656,68,39,4,269,28,308,32,964,100,2004,"4,146,101",0,1.07,0.17,0.57
KY,652,70,36,4,240,26,276,30,928,100,2003,"4,117,170",0,1.03,0.15,0.56
KY,614,67,39,4,263,29,301,33,915,100,2002,"4,089,875",0,1.08,0.14,0.54
KY,945,81,32,3,183,16,215,19,"1,160",100,2001,"4,068,132",0,1.04,0.12,0.46
KY,564,69,53,6,203,25,256,31,820,100,2000,"4,049,021",0,1.07,0.14,0.54
LA,561,59,47,5,347,36,394,41,955,100,2005,"4,576,628",0,1.47,0.24,0.72
LA,490,54,69,8,345,38,414,46,904,100,2004,"4,552,238",0,1.39,0.26,0.73
LA,488,55,44,5,363,41,406,45,894,100,2003,"4,521,042",0,1.42,0.25,0.73
LA,462,53,62,7,351,40,413,47,875,100,2002,"4,497,267",0,1.33,0.24,0.71
LA,904,71,60,5,314,25,374,29,"1,278",100,2001,"4,477,875",0,1.49,0.23,0.69
LA,490,52,95,10,352,38,447,48,937,100,2000,"4,471,885",0,1.5,0.22,0.7
MA,271,61,21,5,150,34,171,39,442,100,2005,"6,403,290",0,1.07,0.59,0.85
MA,274,57,22,5,181,38,203,43,476,100,2004,"6,412,281",0,1.1,0.58,0.84
MA,255,55,37,8,170,37,207,45,462,100,2003,"6,422,565",0,1.1,0.56,0.82
MA,238,52,30,6,192,42,221,48,459,100,2002,"6,417,206",0,1.13,0.54,0.8
MA,406,66,30,5,182,29,212,34,618,100,2001,"6,397,634",0,1.12,0.52,0.78
MA,215,50,65,15,153,35,218,50,433,100,2000,"6,361,104",0,1.16,0.51,0.87
MD,379,62,44,7,191,31,235,38,614,100,2005,"5,592,379",0,0.93,0.32,0.85
MD,357,55,55,9,231,36,286,45,643,100,2004,"5,546,935",0,1.03,0.33,0.79
MD,368,57,73,11,208,32,281,43,649,100,2003,"5,496,269",0,1.02,0.32,0.77
MD,394,60,49,7,216,33,265,40,659,100,2002,"5,440,389",0,1.05,0.31,0.75
MD,694,74,57,6,189,20,246,26,940,100,2001,"5,374,691",0,1.06,0.3,0.75
MD,363,62,64,11,161,27,225,38,588,100,2000,"5,311,034",0,1.04,0.3,0.75
ME,110,65,8,5,50,30,59,35,169,100,2005,"1,318,787",0,1.24,0.41,0.77
